ID,NGS.ID,Library.ID,PCR.index,Adaptor.barcode,Sample.ID,Individual.ID,Sample.type,Locality.ID,Known.sex,Longitude,Latitude,Locality,Group,Taxon,Pool.ID,Sample.Endogenousity,Total.reads,Reads.mapped,Perc.mapped,Notes
BZ12-010,Kafue_Blood_BC7-BC10,KafueBlood,7,10,BZ12-010,BZ12_010,plasma,8,male,25.9376,-15.9695,Ngoma AS,H,Hybrid,7,NA,2452518,2392391,0.975484,
BZ12-011,Kafue_Blood_BC1-BC09,KafueBlood,1,9,BZ12-011,BZ12_011,plasma,8,male,25.9376,-15.9695,Ngoma AS,H,Hybrid,1,NA,1890122,1856071,0.981985,
BZ12-012,Kafue_Blood_BC7-BC11,KafueBlood,7,11,BZ12-012,BZ12_012,plasma,8,male,25.9376,-15.9695,Ngoma AS,H,Hybrid,7,NA,2732024,2690072,0.984644,
BZ12-030,Kafue_Blood_BC8-BC06,KafueBlood,8,6,BZ12-030,BZ12_030,plasma,9,male,26.0599,-16.1518,Dendro P,I,Hybrid,8,NA,1362356,1335266,0.980115,
BZ12-031,Kafue_Blood_BC8-BC07,KafueBlood,8,7,BZ12-031,BZ12_031,plasma,9,female,26.0599,-16.1518,Dendro P,I,Hybrid,8,NA,4020553,3949909,0.982429,
BZ12-032,Kafue_Blood_BC7-BC12,KafueBlood,7,12,BZ12-032,BZ12_032,plasma,9,female,26.0599,-16.1518,Dendro P,I,Hybrid,7,NA,9306987,8926478,0.959116,
BZ12-033,Kafue_Blood_BC8-BC08,KafueBlood,8,8,BZ12-033,BZ12_033,plasma,9,female,26.0599,-16.1518,Dendro P,I,Hybrid,8,NA,3818724,3753534,0.982929,
Chiou-14-001,Kafue_Feces_BC2-BC08,KafueFeces,2,8,Chiou-14-001,Chiou_14_001,feces,4,NA,25.8626,-15.7661,Chibila R,D,Hybrid,10,0.000079,19371441,733566,0.037868,
Chiou-14-003,Kafue_Feces_BC1-BC09,KafueFeces,1,9,Chiou-14-003,Chiou_14_003,feces,4,NA,25.8626,-15.7661,Chibila R,D,Hybrid,9,0.000339,20911095,651767,0.031169,
Chiou-14-004,Kafue_Feces_BC2-BC09,KafueFeces,2,9,Chiou-14-004,Chiou_14_004,feces,4,NA,25.8626,-15.7661,Chibila R,D,Hybrid,10,0.000088,15258715,520738,0.034127,
Chiou-14-005,Kafue_Feces_BC4-BC08,KafueFeces,4,8,Chiou-14-005,Chiou_14_005,feces,4,NA,25.8626,-15.7661,Chibila R,D,Hybrid,12,0.024120,15550384,9937889,0.639077,
Chiou-14-030,Kafue_Feces_BC2-BC11,KafueFeces,2,11,Chiou-14-030,Chiou_14_030,feces,2,NA,25.9449,-15.3115,Shibatwa R,B,Hybrid,10,0.002962,22101022,9695580,0.438694,
Chiou-14-036,Kafue_Feces_BC3-BC08,KafueFeces,3,8,Chiou-14-036,Chiou_14_036,feces,2,NA,25.9449,-15.3115,Shibatwa R,B,Hybrid,11,0.003708,40229679,25429575,0.632110,
Chiou-14-039,Kafue_Feces_BC2-BC12,KafueFeces,2,12,Chiou-14-039,Chiou_14_039,feces,2,NA,25.9449,-15.3115,Shibatwa R,B,Hybrid,10,0.002900,93196509,32471211,0.348417,
Chiou-14-041,Kafue_Feces_BC1-BC11,KafueFeces,1,11,Chiou-14-041,Chiou_14_041,feces,2,NA,25.9449,-15.3115,Shibatwa R,B,Hybrid,9,0.000271,4753321,406508,0.085521,
Chiou-14-042,Kafue_Feces_BC1-BC12,KafueFeces,1,12,Chiou-14-042,Chiou_14_042,feces,2,NA,25.9449,-15.3115,Shibatwa R,B,Hybrid,9,0.005310,51750890,25772712,0.498015,
Chiou-14-044,Kafue_Feces_BC1-BC10,KafueFeces,1,10,Chiou-14-044,Chiou_14_044,feces,3,NA,25.9605,-15.4940,Namiyezhi R,C,Hybrid,9,0.000292,10035649,626032,0.062381,
Chiou-14-050,FecalSeq3_BC1-BC07,FecalSeq3,1,7,Chiou-14-050,Chiou_14_050,feces,5,NA,25.7414,-15.9081,Musa R,E,Hybrid,NA,0.029900,7822964,4517913,0.577519,
Chiou-14-054,Kafue_Feces_BC4-BC01,KafueFeces,4,1,Chiou-14-054,Chiou_14_054,feces,6,NA,25.8133,-15.9013,Top Musa,F,Hybrid,12,0.004415,38838429,25741049,0.662773,
Chiou-14-056,Kafue_Feces_BC4-BC02,KafueFeces,4,2,Chiou-14-056,Chiou_14_056,feces,6,NA,25.8133,-15.9013,Top Musa,F,Hybrid,12,0.001098,38427566,13803642,0.359212,
Chiou-14-057,Kafue_Feces_BC1-BC08,KafueFeces,1,8,Chiou-14-057,Chiou_14_057,feces,6,NA,25.8133,-15.9013,Top Musa,F,Hybrid,9,0.002374,130448259,49876710,0.382349,
Chiou-14-058,Kafue_Feces_BC4-BC03,KafueFeces,4,3,Chiou-14-058,Chiou_14_058,feces,6,NA,25.8133,-15.9013,Top Musa,F,Hybrid,12,0.005733,59357963,24179487,0.407350,
Chiou-14-059,Kafue_Feces_BC4-BC04,KafueFeces,4,4,Chiou-14-059,Chiou_14_059,feces,6,NA,25.8133,-15.9013,Top Musa,F,Hybrid,12,0.008954,33276007,17637529,0.530037,
Chiou-14-065,Kafue_Feces_BC2-BC10,KafueFeces,2,10,Chiou-14-065,Chiou_14_065,feces,4,NA,25.8626,-15.7661,Chibila R,D,Hybrid,10,0.000770,38997358,5607278,0.143786,
Chiou-14-069,FecalSeq3_BC1-BC11,FecalSeq3,1,11,Chiou-14-069,Chiou_14_069,feces,7,male,25.8895,-15.9029,N Nkala Rd,G,Hybrid,NA,0.000049,2723812,256271,0.094085,
Chiou-15-003,Kafue_Feces_BC4-BC05,KafueFeces,4,5,Chiou-15-003a,Chiou_15_003,feces,5,NA,25.7414,-15.9081,Musa R,E,Hybrid,12,0.001017,8098609,430680,0.053180,
Chiou-15-004,Kafue_Feces_BC4-BC06,KafueFeces,4,6,Chiou-15-004,Chiou_15_004,feces,5,NA,25.7414,-15.9081,Musa R,E,Hybrid,12,0.031094,46300677,36112114,0.779948,
Chiou-15-005,Kafue_Feces_BC4-BC07,KafueFeces,4,7,Chiou-15-005a,Chiou_15_005,feces,5,NA,25.7414,-15.9081,Musa R,E,Hybrid,12,0.001113,9662129,3237114,0.335031,
